state,incident_type,ih_program_declared,ia_program_declared,hm_program_declared,pa_program_declared,incident_month,incident_year,#disasters,state_name
MN,Flood,Yes,No,Yes,No,September,2016,1,Minnesota
CA,Fire,No,No,No,Yes,July,2018,1,California
SD,Fire,No,No,Yes,Yes,December,2017,1,South Dakota
WI,Severe Storm,No,No,Yes,Yes,July,2010,1,Wisconsin
WV,Severe Storm,No,No,Yes,Yes,March,2010,1,West Virginia
FL,Other,Yes,No,No,Yes,June,2021,1,Florida
WA,Fire,No,No,Yes,Yes,September,2017,1,Washington
OK,Tornado,Yes,No,Yes,No,May,2013,1,Oklahoma
SD,Severe Storm,No,No,Yes,Yes,March,2019,1,South Dakota
DC,Biological,No,No,No,Yes,January,2020,1,District of Columbia
NV,Fire,No,No,No,Yes,January,2012,1,Nevada
UT,Fire,No,No,No,Yes,June,2016,1,Utah
AZ,Flood,No,No,Yes,Yes,October,2022,1,Arizona
UT,Fire,No,No,No,Yes,July,2012,1,Utah
FL,Hurricane,Yes,No,Yes,No,August,2016,1,Florida
NV,Fire,No,No,Yes,Yes,July,2021,1,Nevada
NV,Fire,No,No,No,Yes,November,2011,1,Nevada
NH,Coastal Storm,No,No,Yes,Yes,March,2018,1,New Hampshire
NM,Fire,No,No,No,Yes,June,2010,1,New Mexico
AZ,Freezing,No,No,Yes,Yes,December,2012,1,Arizona
VA,Hurricane,Yes,No,Yes,Yes,October,2012,1,Virginia
AZ,Fire,No,No,Yes,Yes,June,2022,1,Arizona
GA,Fire,No,No,Yes,Yes,November,2016,1,Georgia
DC,Hurricane,No,No,Yes,Yes,August,2011,1,District of Columbia
MT,Fire,No,No,No,Yes,August,2012,1,Montana
CA,Fire,No,No,No,Yes,August,2010,1,California
AK,Severe Storm,No,No,Yes,Yes,December,2015,1,Alaska
NH,Severe Storm,No,No,Yes,Yes,July,2019,1,New Hampshire
ID,Fire,No,No,Yes,Yes,September,2022,1,Idaho
WA,Fire,No,No,Yes,Yes,September,2015,1,Washington
VA,Earthquake,No,No,Yes,Yes,August,2011,1,Virginia
SD,Severe Storm,Yes,No,Yes,No,May,2015,1,South Dakota
AK,Fire,No,No,No,Yes,May,2011,1,Alaska
VI,Other,No,No,No,Yes,July,2022,1,Virgin Islands of the U.S.
CO,Fire,No,No,Yes,Yes,July,2018,1,Colorado
OR,Fire,No,No,No,Yes,September,2014,1,Oregon
MA,Tornado,Yes,No,Yes,No,June,2011,1,Massachusetts
IA,Flood,No,No,Yes,Yes,May,2011,1,Iowa
CA,Fire,No,No,Yes,Yes,June,2016,1,California
UT,Earthquake,Yes,No,Yes,Yes,March,2020,1,Utah
NY,Severe Storm,No,No,Yes,Yes,February,2013,1,New York
WV,Flood,Yes,No,Yes,No,June,2010,1,West Virginia
MS,Severe Storm,Yes,No,No,No,February,2019,1,Mississippi
AZ,Fire,No,No,Yes,Yes,June,2015,1,Arizona
VT,Severe Storm,No,No,Yes,Yes,April,2011,1,Vermont
AZ,Fire,No,No,Yes,Yes,July,2017,1,Arizona
AK,Severe Storm,No,No,Yes,Yes,October,2021,1,Alaska
NV,Fire,No,No,Yes,Yes,June,2020,1,Nevada
NV,Fire,No,No,Yes,Yes,November,2020,1,Nevada
CO,Fire,Yes,No,Yes,Yes,December,2021,1,Colorado
KY,Flood,Yes,No,Yes,No,April,2015,1,Kentucky
SD,Fire,No,No,Yes,Yes,October,2021,1,South Dakota
MT,Fire,No,No,No,Yes,August,2013,1,Montana
MS,Tornado,Yes,No,Yes,No,January,2017,1,Mississippi
UT,Severe Storm,No,No,Yes,Yes,November,2011,1,Utah
NM,Fire,No,No,No,Yes,May,2013,1,New Mexico
MT,Fire,No,No,No,Yes,July,2013,1,Montana
WV,Flood,Yes,No,Yes,No,February,2021,1,West Virginia
ID,Fire,No,No,Yes,Yes,July,2018,1,Idaho
NV,Fire,No,No,No,Yes,July,2010,1,Nevada
WA,Fire,No,No,Yes,Yes,August,2022,1,Washington
NM,Fire,No,No,No,Yes,May,2010,1,New Mexico
UT,Fire,No,No,Yes,Yes,August,2018,1,Utah
DE,Snowstorm,No,No,Yes,Yes,January,2016,1,Delaware
ID,Fire,No,No,No,Yes,August,2010,1,Idaho
NY,Hurricane,No,No,Yes,Yes,October,2012,1,New York
OR,Fire,No,No,Yes,Yes,June,2021,1,Oregon
OR,Fire,No,No,Yes,Yes,July,2019,1,Oregon
TX,Fire,No,No,Yes,Yes,October,2015,1,Texas
CO,Fire,No,No,Yes,Yes,December,2021,1,Colorado
AK,Mud/Landslide,No,No,Yes,Yes,May,2022,1,Alaska
DC,Hurricane,No,No,No,Yes,October,2012,1,District of Columbia
MS,Severe Storm,Yes,No,Yes,No,May,2010,1,Mississippi
NV,Fire,No,No,Yes,Yes,June,2018,1,Nevada
WY,Fire,No,No,Yes,Yes,September,2018,1,Wyoming
OK,Severe Storm,Yes,No,Yes,Yes,April,2011,1,Oklahoma
CA,Flood,No,No,Yes,Yes,December,2014,1,California
NV,Fire,No,No,No,Yes,October,2011,1,Nevada
UT,Fire,No,No,Yes,Yes,September,2018,1,Utah
WA,Fire,No,No,Yes,Yes,July,2015,1,Washington
AR,Tornado,No,No,Yes,Yes,March,2020,1,Arkansas
NV,Fire,No,No,No,Yes,May,2012,1,Nevada
OR,Fire,No,No,Yes,Yes,September,2018,1,Oregon
DC,Other,No,No,No,Yes,January,2021,1,District of Columbia
MS,Flood,Yes,No,Yes,No,May,2011,1,Mississippi
SC,Severe Storm,No,No,Yes,Yes,April,2020,1,South Carolina
SC,Flood,Yes,No,Yes,No,October,2015,1,South Carolina
WA,Fire,No,No,Yes,Yes,May,2017,1,Washington
MS,Severe Storm,No,No,Yes,Yes,April,2014,1,Mississippi
OR,Fire,No,No,Yes,Yes,August,2021,1,Oregon
CA,Earthquake,No,No,Yes,Yes,December,2022,1,California
TN,Tornado,Yes,No,Yes,No,December,2021,1,Tennessee
CO,Fire,No,No,No,Yes,July,2016,1,Colorado
WA,Fire,No,No,No,Yes,September,2011,1,Washington
RI,Hurricane,No,No,Yes,No,August,2011,1,Rhode Island
GU,Severe Storm,No,No,Yes,Yes,July,2014,1,Guam
VA,Severe Storm,No,No,No,Yes,June,2012,1,Virginia
MS,Severe Storm,No,No,No,Yes,December,2015,1,Mississippi
MT,Fire,No,No,No,Yes,September,2012,1,Montana
HI,Severe Storm,No,No,Yes,Yes,March,2020,1,Hawaii
AZ,Fire,No,No,No,Yes,May,2011,1,Arizona
PR,Hurricane,Yes,No,Yes,No,August,2011,1,Puerto Rico
AZ,Flood,No,No,Yes,Yes,July,2018,1,Arizona
PR,Flood,Yes,No,No,No,September,2020,1,Puerto Rico
DC,Earthquake,No,No,Yes,Yes,August,2011,1,District of Columbia
CA,Fire,No,No,No,Yes,January,2014,1,California
MS,Other,No,No,No,Yes,August,2022,1,Mississippi
NH,Severe Storm,No,No,Yes,Yes,July,2021,1,New Hampshire
CA,Fire,No,No,Yes,Yes,August,2013,1,California
MT,Severe Storm,No,No,No,Yes,April,2016,1,Montana
CA,Fire,No,No,No,Yes,August,2020,1,California
MA,Tornado,Yes,No,Yes,Yes,June,2011,1,Massachusetts
MS,Severe Storm,Yes,No,Yes,No,April,2020,1,Mississippi
AK,Severe Storm,No,No,Yes,Yes,September,2017,1,Alaska
IL,Flood,Yes,No,Yes,No,July,2022,1,Illinois
OR,Fire,No,No,No,Yes,June,2014,1,Oregon
PA,Hurricane,Yes,No,Yes,No,August,2021,1,Pennsylvania
OR,Fire,No,No,No,Yes,August,2016,1,Oregon
MT,Fire,No,No,No,Yes,August,2016,1,Montana
HI,Fire,No,No,No,Yes,June,2010,1,Hawaii
AZ,Fire,No,No,Yes,Yes,April,2018,1,Arizona
NV,Fire,No,No,No,Yes,September,2011,1,Nevada
OR,Fire,No,No,Yes,Yes,June,2018,1,Oregon
TX,Severe Storm,No,No,No,Yes,October,2015,1,Texas
NV,Fire,No,No,Yes,Yes,August,2022,1,Nevada
NH,Fire,No,No,Yes,Yes,April,2016,1,New Hampshire
NM,Fire,No,No,Yes,Yes,April,2021,1,New Mexico
DC,Severe Storm,No,No,Yes,Yes,February,2010,1,District of Columbia
WA,Fire,No,No,Yes,Yes,June,2015,1,Washington
WA,Fire,No,No,No,Yes,July,2010,1,Washington
AZ,Fire,No,No,Yes,Yes,May,2018,1,Arizona
UT,Fire,No,No,Yes,Yes,June,2017,1,Utah
AR,Severe Storm,Yes,No,Yes,No,April,2014,1,Arkansas
TX,Fire,No,No,No,Yes,April,2012,1,Texas
CA,Fire,No,No,No,Yes,July,2014,1,California
AL,Severe Storm,Yes,No,Yes,No,March,2021,1,Alabama
AK,Fire,No,No,Yes,Yes,June,2019,1,Alaska
IN,Severe Storm,Yes,No,Yes,No,February,2012,1,Indiana
CA,Fire,No,No,Yes,Yes,December,2020,1,California
AL,Tornado,Yes,No,Yes,Yes,March,2019,1,Alabama
FL,Fire,No,No,No,Yes,April,2011,1,Florida
AK,Severe Storm,No,No,Yes,Yes,January,2022,1,Alaska
NM,Fire,No,No,Yes,Yes,March,2019,1,New Mexico
ME,Biological,Yes,No,No,Yes,January,2020,1,Maine
OK,Fire,No,No,No,Yes,January,2016,1,Oklahoma
TX,Fire,No,No,No,Yes,May,2014,1,Texas
AK,Coastal Storm,No,No,Yes,Yes,August,2015,1,Alaska
AZ,Severe Storm,Yes,No,Yes,Yes,July,2022,1,Arizona
CA,Earthquake,No,No,Yes,Yes,April,2010,1,California
OK,Fire,No,No,No,Yes,February,2016,1,Oklahoma
VI,Severe Storm,No,No,Yes,Yes,November,2010,1,Virgin Islands of the U.S.
CA,Severe Storm,No,No,Yes,Yes,February,2017,1,California
DC,Snowstorm,No,No,Yes,Yes,January,2016,1,District of Columbia
UT,Fire,No,No,No,Yes,September,2010,1,Utah
GU,Typhoon,No,No,Yes,Yes,May,2015,1,Guam
AZ,Severe Storm,No,No,Yes,Yes,February,2019,1,Arizona
WA,Fire,No,No,No,Yes,August,2010,1,Washington
AZ,Fire,No,No,Yes,Yes,May,2021,1,Arizona
MI,Severe Storm,Yes,No,Yes,Yes,June,2021,1,Michigan
NM,Fire,No,No,Yes,Yes,June,2017,1,New Mexico
NM,Fire,No,No,Yes,Yes,June,2018,1,New Mexico
AS,Severe Storm,No,No,Yes,Yes,July,2022,1,American Samoa
OK,Severe Storm,No,No,Yes,Yes,December,2022,1,Oklahoma
MD,Severe Storm,No,No,Yes,No,February,2014,1,Maryland
DE,Hurricane,No,No,Yes,Yes,September,2021,1,Delaware
OH,Tornado,No,No,Yes,Yes,May,2019,1,Ohio
UT,Fire,No,No,Yes,Yes,August,2019,1,Utah
WA,Fire,No,No,No,Yes,August,2012,1,Washington
CA,Fire,No,No,Yes,Yes,July,2022,1,California
GU,Biological,No,No,No,Yes,January,2020,1,Guam
TN,Other,No,No,No,Yes,December,2020,1,Tennessee
LA,Flood,No,No,Yes,Yes,March,2016,1,Louisiana
NM,Severe Storm,No,No,Yes,Yes,September,2013,1,New Mexico
AZ,Fire,No,No,Yes,Yes,April,2021,1,Arizona
TX,Fire,No,No,Yes,Yes,August,2019,1,Texas
